Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Penta Kills,Solo Kills
39,0.282,1.9,2.2,3.3,4.2,7.6,374,0.5579999999999999,0.256,463,1,0.45,0.16,0.2,-174,-7,-328,0.10300000000000001,0.179,0,9
53,0.604,4.7,2.4,1.5,4.7,7.5,368,0.524,0.187,335,1.15,0.42,0.22,0.21,75,-1,61,0.245,0.094,0,5
46,0.7170000000000001,3,2.8,2.6,4.9,8.3,399,0.616,0.26899999999999996,531,1.1,0.4,0.25,0.17,361,14,229,0.174,0.261,0,19
41,0.512,3.1,2.1,2.3,5.0,7.6,365,0.562,0.21899999999999997,370,0.9,0.45,0.13,0.17,-165,-6,-24,0.195,0.122,0,12
46,0.435,2.5,2.0,2.5,4.3,7.8,376,0.5670000000000001,0.22399999999999998,409,0.88,0.46,0.09,0.15,-4,-2,-228,0.109,0.109,0,6
7,0.14300000000000002,1.8,1.9,3.9,5.1,7.3,338,0.632,0.198,358,0.9,0.45,0.1,0.16,-212,-9,-256,0.28600000000000003,0.14300000000000002,0,0
18,0.222,1.2,2.3,4.0,2.6,6.9,334,0.6,0.215,343,0.86,0.36,0.15,0.11,-617,-16,-541,0.16699999999999998,0.278,0,2
20,0.35,2.3,2.1,2.6,3.9,7.6,359,0.643,0.22,368,1.05,0.48,0.19,0.21,45,2,112,0.1,0.1,0,3
14,0.429,2.1,2.1,3.1,4.5,6.5,334,0.525,0.217,390,1.02,0.5,0.11,0.21,-258,-17,-296,0.214,0.14300000000000002,0,4
1,0.0,0.8,0.0,5.0,4.0,6.8,302,1.0,0.166,253,0.98,0.41,0.2,0.12,-388,-16,-264,0.0,0.0,0,0
13,0.154,1.6,1.6,3.1,3.3,7.2,337,0.47700000000000004,0.209,321,0.85,0.39,0.13,0.1,-641,-11,-163,0.077,0.077,0,1
24,0.20800000000000002,1.7,2.7,4.4,5.0,7.3,362,0.562,0.249,493,0.92,0.48,0.16,0.17,10,3,-73,0.20800000000000002,0.16699999999999998,0,12
20,0.25,1.8,3.0,4.5,4.8,7.6,367,0.47100000000000003,0.209,411,0.98,0.46,0.14,0.15,-151,11,-28,0.2,0.15,0,12
20,0.4,2.6,3.0,2.7,4.1,7.7,370,0.617,0.27699999999999997,469,0.99,0.38,0.2,0.11,239,1,28,0.2,0.05,0,6
13,0.385,2.1,1.7,3.5,5.6,6.7,349,0.59,0.24100000000000002,446,0.98,0.47,0.16,0.19,-73,0,-94,0.308,0.231,0,4
35,0.486,2.3,3.0,3.7,5.4,7.1,373,0.594,0.22,423,1.11,0.38,0.18,0.12,-509,-13,-573,0.171,0.2,0,10
2,0.0,1.5,2.0,3.0,2.5,8.2,361,0.433,0.223,374,0.81,0.31,0.28,0.15,-1406,-18,-344,0.0,0.5,0,0
